time,w0,w1,w2,w3,p1,p2,p3
10:16:38,882.059458,886.0788589,870.5377785,889.4924663,186.99,189.2,186.51
10:16:40,883.2334562,886.3864524,872.1594907,891.0719006,187.12,189.13,186.45
10:16:42,882.1531103,886.582501,868.1420673,891.6402326,186.93,189.55,186.22
10:16:44,882.2668309,886.356031,869.1774167,891.1776368,186.98,189.42,186.3
10:16:46,880.8308294,885.9706941,866.644329,889.7964578,186.83,189.58,186.29
10:16:48,883.1855151,885.8152073,871.7172056,891.9243986,187.19,189.19,186.33
10:16:50,882.5254896,886.9272761,868.5642486,891.9904837,186.94,189.54,186.22
10:16:52,882.2735204,886.9205158,870.872843,888.9736981,186.9,189.18,186.61
10:16:54,882.1720638,885.443391,869.3315463,891.6369284,187.1,189.38,186.22
10:16:56,882.0304704,886.6872856,868.4369241,890.883558,186.9,189.49,186.31
10:16:58,881.4139263,887.8635772,866.7314458,889.5882897,186.65,189.64,186.4
10:17:00,882.5522474,886.2715273,869.277936,892.007005,187.04,189.44,186.22
10:17:02,881.2801374,886.3965928,868.6681186,888.7159662,186.84,189.35,186.51
10:17:04,882.3928155,887.8230154,868.7786899,890.5101771,186.79,189.49,186.41
10:17:06,883.3505215,886.5284186,872.7257497,890.7216495,187.11,189.07,186.52
10:17:08,882.3537938,885.6326793,870.5176747,890.8207772,187.1,189.24,186.36
10:17:10,883.0305429,886.7819297,869.8307924,892.3803859,187.03,189.43,186.24
10:17:12,881.4707866,886.4033531,867.2306919,890.6919112,186.86,189.58,186.25
10:17:14,882.1073991,886.3019487,869.8978053,890.0475813,186.97,189.29,186.44
10:17:16,882.3827814,885.7374639,869.4957279,891.8120539,187.09,189.39,186.23
10:17:18,880.7806586,885.0749548,868.8457028,888.352498,186.95,189.26,186.49
10:17:20,881.1563826,886.3526509,867.6093148,889.4362939,186.83,189.48,186.39
10:17:22,882.3515639,887.221349,870.8225833,888.9604811,186.87,189.2,186.63
10:17:24,881.7149515,887.9379405,868.1018596,889.0563045,186.68,189.49,186.52
10:17:26,881.9044858,886.6399635,868.872508,890.1268834,186.89,189.41,186.4
10:17:28,882.4195733,886.8833342,869.2578321,891.0355538,186.93,189.43,186.34
10:17:30,882.4675144,885.6191587,868.2559893,893.401401,187.12,189.58,186.01
10:17:32,881.611265,885.9571735,868.041548,890.7447793,186.95,189.49,186.27
10:17:34,881.8242125,886.7346076,869.5091305,889.1686492,186.87,189.31,186.52
10:17:36,882.2211197,886.0011154,869.3214944,891.2470262,187.03,189.39,186.28
10:17:38,882.1464209,886.0856192,870.1491037,890.1268834,187,189.26,186.43
10:17:40,882.4875827,886.4168737,869.2343776,891.7162305,187.01,189.44,186.26
10:17:42,881.7015726,885.2338218,869.7604289,890.0244515,187.06,189.26,186.38
10:17:44,882.8309744,886.9779783,869.6498576,891.7757071,186.98,189.43,186.3
10:17:46,881.8442808,885.7509845,868.6379628,891.0487708,187.01,189.43,186.26
10:17:48,881.7595478,885.6631006,868.2894957,891.2272006,187.01,189.47,186.22
10:17:50,882.6202568,885.490713,871.1609985,891.1148559,187.16,189.19,186.36
10:17:52,882.1152034,885.808447,870.259675,890.1962728,187.04,189.24,186.42
10:17:54,882.4374119,886.7008062,868.5944044,891.9210944,186.96,189.52,186.22
10:17:56,883.2535245,886.1363214,870.9029988,892.6149881,187.15,189.31,186.24
10:17:58,882.7228283,886.7785496,869.1673647,892.1259582,186.99,189.48,186.23
10:18:00,882.6024182,885.9436529,868.4101189,893.3320116,187.09,189.57,186.04
10:18:02,881.7718118,886.0416772,867.4685877,891.7030135,186.96,189.59,186.15
10:18:04,882.9770273,886.3492707,870.5980901,891.8880518,187.09,189.31,186.3
10:18:06,881.8286721,885.1188967,870.4640643,889.8195876,187.1,189.17,186.43
10:18:08,883.3271084,886.4371546,871.1945049,892.25152,187.12,189.28,186.3
10:18:10,882.1575699,886.2106846,869.6197018,890.5597409,186.99,189.34,186.37
10:18:12,882.4006199,887.4579594,868.5139889,891.1512027,186.85,189.53,186.32
10:18:14,881.3381126,887.0455813,867.2139387,889.6874174,186.75,189.57,186.38
10:18:16,883.7842207,887.2821917,870.6818563,893.285752,187.07,189.42,186.22
10:18:18,882.7897228,886.6501039,870.7287653,890.9099921,187.02,189.27,186.41
10:18:20,881.9345883,886.0754787,867.9309767,891.696405,186.98,189.55,186.18
10:18:22,882.9056732,887.3633152,869.3617021,891.9045731,186.93,189.48,186.29
10:18:24,882.4708591,888.1069479,869.4689228,889.7832408,186.76,189.4,186.53
10:18:26,881.9881039,885.8456286,868.2459373,891.7690986,187.02,189.51,186.18
10:18:28,882.1575699,887.2010681,868.3230022,890.870341,186.85,189.52,186.33
10:18:30,882.5778903,886.8258717,868.4737812,892.3341264,186.96,189.56,186.18
10:18:32,882.265716,886.7920702,869.2511308,890.6753899,186.92,189.41,186.37
10:18:34,883.7307051,887.2754314,872.7123471,891.1313772,187.06,189.12,186.52
10:18:36,882.5946139,886.7954503,869.1774167,891.7195348,186.97,189.46,186.27
10:18:38,881.9412778,887.7317514,868.9495728,889.0926513,186.74,189.4,186.55
10:18:40,882.0951351,888.9891666,867.2574971,889.9881047,186.59,189.67,186.44
10:18:42,882.1497656,886.4371546,869.3214944,890.6093048,186.95,189.38,186.36
10:18:44,882.3080825,888.0156839,867.5557045,891.2767645,186.75,189.65,186.29
10:18:46,883.4330247,886.629823,870.6014408,892.961935,187.11,189.38,186.21
10:18:48,882.1653743,888.3570789,866.2690568,891.7889241,186.69,189.81,186.2
10:18:50,882.0182064,885.5752168,868.5776512,891.7955326,187.06,189.47,186.18
10:18:52,882.4675144,887.9075191,868.8758586,890.5531324,186.79,189.49,186.42
10:18:54,881.889992,886.3763119,868.2392361,890.9661644,186.93,189.5,186.28
10:18:56,881.635793,886.4439149,867.8103535,890.5696537,186.88,189.52,186.3
10:18:58,882.4920423,887.3328939,868.6714693,891.3891092,186.88,189.52,186.3
10:19:00,882.1252376,886.5791208,869.7369744,889.9881047,186.93,189.32,186.45
10:19:02,882.1163184,885.4028292,869.6297537,891.2172879,187.1,189.33,186.27
10:19:04,882.1441911,885.8557691,868.4168202,892.0532646,187.04,189.51,186.16
10:19:06,882.6760022,886.0720986,868.5273915,893.3088818,187.08,189.57,186.06
10:19:08,882.9915211,888.0528655,867.5020942,893.3187946,186.85,189.76,186.1
10:19:10,882.5856946,886.9002349,870.0418831,890.7381708,186.95,189.34,186.41
10:19:12,882.4786634,886.7109466,868.2258335,892.3969072,186.96,189.58,186.16
10:19:14,882.8187104,886.7177069,869.9581169,891.6897965,187.01,189.38,186.31
10:19:16,882.8187104,885.7340837,870.8158821,891.8054454,187.15,189.26,186.29
10:19:18,883.053956,887.2788115,870.6952588,891.1115517,186.96,189.31,186.42
10:19:20,882.3482192,885.9875949,868.5642486,892.3836902,187.05,189.52,186.14
10:19:22,882.3415298,887.2686711,868.8758586,890.8042559,186.86,189.47,186.36
10:19:24,883.1565275,888.2421538,868.6915731,892.4497753,186.84,189.61,186.25
10:19:26,881.9825294,886.3188494,869.4521695,890.1004494,186.95,189.34,186.41
10:19:28,883.3226488,887.8061147,870.7656224,891.3230241,186.93,189.34,186.43
10:19:30,883.1197355,887.9852626,867.776847,893.4939202,186.87,189.73,186.09
10:19:33,882.2344986,887.5830249,867.2574971,891.7757071,186.8,189.68,186.21
10:19:35,883.0216236,885.64958,870.4406098,892.859503,187.19,189.34,186.17
10:19:37,883.6002609,888.8945225,871.1945049,890.6588686,186.81,189.32,186.56
10:19:39,881.660321,885.7476043,868.1186128,891.0190325,186.98,189.48,186.24
10:19:41,882.88449,886.7143268,869.220975,892.6149881,187.02,189.5,186.18
10:19:43,882.6470146,886.4743362,869.3047412,892.0631774,187.02,189.45,186.23
10:19:45,882.8566173,887.4309182,869.0534428,891.9970923,186.91,189.52,186.27
10:19:47,883.2880867,888.793118,870.9231027,890.1004494,186.78,189.31,186.6
10:19:49,882.5366387,888.5700282,869.2377283,889.7535025,186.71,189.45,186.54
10:19:51,882.1899023,886.7920702,867.106718,892.5654243,186.91,189.7,186.09
10:19:53,881.7718118,886.6906657,867.5758083,890.9628602,186.87,189.57,186.26
10:19:55,883.1163908,886.8867143,872.57162,889.8295004,187.03,189.06,186.61
10:19:57,881.9524269,887.9413206,866.2489529,891.5840603,186.71,189.79,186.2
10:19:59,881.9379331,887.4140175,868.4436254,889.8922813,186.79,189.48,186.44
10:20:01,882.6637382,887.9582214,868.2425867,891.709622,186.81,189.6,186.28
10:20:03,882.6681978,887.6742889,868.9864299,891.2668517,186.85,189.5,186.34
10:20:05,881.8632342,887.2281093,868.7217289,889.5783769,186.8,189.43,186.47
10:20:07,881.7350198,885.0479136,869.4789747,890.5828707,187.09,189.3,186.31
10:20:09,883.7474287,886.5250384,870.3501424,894.2439863,187.17,189.46,186.08
10:20:11,882.8811452,888.0528655,870.1926621,890.3383558,186.83,189.36,186.51
10:20:13,882.9458099,886.971218,869.4354163,892.3341264,186.99,189.48,186.23
10:20:15,881.5911967,885.1662188,868.4134696,891.0917261,187.06,189.43,186.22
10:20:17,881.623529,886.2309655,867.6930809,890.857124,186.91,189.54,186.25
10:20:19,881.6937682,885.9977353,868.0717038,890.9199048,186.95,189.49,186.25
10:20:21,881.6458272,887.153746,867.994639,889.7237642,186.78,189.5,186.42
10:20:23,882.2924738,886.2918082,867.1435751,893.3220989,187,189.71,186
10:20:25,882.8465831,888.1813112,868.088457,892.1854348,186.81,189.65,186.24
10:20:27,882.7105643,885.3960689,869.9782208,892.6414222,187.18,189.37,186.16
10:20:29,882.0694922,886.4134936,868.8088457,890.9000793,186.95,189.44,186.31
10:20:31,882.3136571,887.0422012,868.4302228,891.3825007,186.89,189.53,186.28
10:20:33,882.3850112,885.0411533,871.3720891,890.6489559,187.19,189.12,186.39
10:20:35,883.2446052,886.7717893,870.0385324,892.819852,187.06,189.43,186.21
10:20:37,882.4362969,885.6631006,868.1253141,893.3947925,187.11,189.59,186.01
10:20:39,883.2167325,886.2106846,870.7354666,892.5984668,187.14,189.33,186.23
10:20:41,882.2099706,887.7249911,867.8003016,891.0289453,186.78,189.6,186.31
10:20:43,883.1241952,885.3318461,871.4692578,892.4596881,187.25,189.21,186.24
10:20:45,881.7194111,885.9267522,867.9879377,891.1478985,186.97,189.51,186.23
10:20:47,882.6960705,886.9407967,870.1725582,890.896775,186.96,189.34,186.4
10:20:49,881.3080101,886.2850479,866.654381,890.8934708,186.86,189.64,186.2
10:20:51,881.3191591,885.5785969,868.5441447,889.7535025,186.96,189.37,186.37
10:20:53,881.9301287,886.4506752,869.0333389,890.2293154,186.92,189.39,186.39
10:20:55,882.1419612,886.8495327,867.6629251,891.8186624,186.9,189.61,186.19
10:20:57,882.9279714,887.6979499,868.654716,892.3407349,186.89,189.58,186.23
10:20:59,881.4094667,886.0078757,868.446976,889.6973302,186.91,189.4,186.39
10:21:01,883.2802823,886.6433436,870.9197521,892.1821306,187.09,189.31,186.3
10:21:03,881.1898298,885.5278947,866.5873681,891.3494581,186.95,189.63,186.12
10:21:05,882.0182064,886.7717893,868.1420673,891.0553793,186.89,189.53,186.28
10:21:07,883.5222173,887.7418919,871.3184788,891.4320645,186.97,189.29,186.44
10:21:09,883.0260833,886.2613869,871.8880885,890.8472112,187.1,189.14,186.46
10:21:11,882.2712906,886.1667427,869.0567934,891.4948454,187.01,189.43,186.26
10:21:13,882.0159766,885.9166117,869.5526889,890.4936558,187.01,189.33,186.36
10:21:15,881.6993428,886.9171357,867.880717,890.2260111,186.82,189.52,186.35
10:21:17,881.5477153,887.7182308,868.1253141,888.752313,186.69,189.47,186.54
10:21:19,882.7295177,886.264767,871.4592059,890.3879196,187.06,189.16,186.48
10:21:21,881.9535418,886.5284186,868.9596247,890.2954005,186.91,189.4,186.38
10:21:23,883.4241054,888.4010208,869.0299883,892.7537669,186.86,189.6,186.24
10:21:25,883.405152,886.6534841,870.7019601,892.7570711,187.1,189.36,186.24
10:21:27,882.3370701,887.4748601,869.6766628,889.7997621,186.83,189.36,186.51
10:21:29,884.0272706,887.6844293,872.4308929,891.8880518,187.05,189.2,186.45
10:21:31,882.4898125,886.7582687,869.1941699,891.4287602,186.96,189.45,186.3
10:21:33,883.3404873,885.7036624,871.9953091,892.2184774,187.23,189.17,186.31
10:21:35,881.8532001,886.5588399,867.9544312,890.9595559,186.9,189.53,186.27
10:21:37,882.3537938,886.5791208,869.9715195,890.4341792,186.96,189.32,186.42
10:21:39,882.8164806,887.3599351,869.5091305,891.4981496,186.92,189.45,186.33
10:21:41,882.7607352,885.7340837,870.8627911,891.5873645,187.14,189.25,186.31
10:21:43,881.8275572,886.2715273,868.4235215,890.7018239,186.93,189.46,186.3
10:21:45,882.3370701,885.9774544,870.0921427,890.8538197,187.05,189.3,186.36
10:21:47,883.719556,887.6235867,871.2782711,892.1722178,187.01,189.32,186.37
10:21:49,881.9000262,887.0083997,868.0013403,890.612609,186.84,189.53,186.33
